"","Gene11","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene33","Gene34","Gene35","Gene42","Gene43","Gene82","Gene85","Gene87","Gene88","Gene89","Gene90","Gene92","Gene94","Gene95","Gene96","Gene97","Gene98","Gene117","Gene121","Gene122","Gene125","Gene139","Gene140","Gene143","Gene147","Gene152","Gene155","Gene161","Gene165","Gene192","Gene194","Gene233","Gene272","Gene351","Gene414","Gene425","Gene586","Gene602","Gene614","Gene629","Gene659","Gene697","Gene791","Gene819","Gene826","Gene829","Gene966","Gene1000","Gene1026","Gene1076","Gene1107","Gene1111","Gene1139","Gene1171","Gene1206","Gene1374","Gene1429","Gene1431","Gene1439","Gene1492","Gene1509","Gene1607","Gene1628","Gene1657","Gene1695","Gene1714","Gene1753","Gene1755","Gene1829","Gene1873","Gene1902","Gene1939","Gene1941"
"Cell796",0,45,1,28,4,44,0,0,1,16,46,38,0,13,23,7,39,1,3,23,7,43,3,2,5,23,39,51,0,16,0,20,5,10,1,1,4,0,0,56,52,6,0,30,5,47,209,2,2,90,19,1,3,349,32,132,0,75,0,20,30,59,2,3,8,32,0,5,11,2,14,46,40,0,24,50,12,40,0,16,9,4,15,16
"Cell797",0,40,0,7,2,27,1,0,4,19,32,54,0,5,29,1,36,10,1,30,5,25,0,4,1,13,17,22,0,4,0,3,2,12,0,6,1,4,0,76,53,4,0,49,10,38,136,2,3,38,19,2,8,235,17,77,0,50,0,13,19,29,2,1,7,21,0,2,2,1,4,47,62,0,18,47,10,34,0,2,2,3,18,15
"Cell798",0,25,0,20,1,28,5,0,0,20,32,32,2,9,15,5,20,4,3,23,1,5,0,1,1,13,16,51,0,9,0,7,2,3,4,8,1,1,1,14,31,1,0,30,1,18,91,3,6,34,3,7,5,204,21,60,0,39,0,10,11,48,0,0,3,16,0,4,0,1,2,22,21,0,18,31,9,21,0,8,7,2,10,10
"Cell799",0,47,2,6,4,29,1,0,10,42,76,39,2,9,26,12,53,2,1,24,3,28,7,8,1,28,32,65,0,16,1,10,2,7,1,11,3,1,0,31,64,1,0,32,2,29,121,6,10,49,8,1,6,333,27,117,0,58,0,7,29,70,4,0,6,50,0,12,3,0,11,50,36,0,19,57,13,34,1,5,3,0,19,25
"Cell800",0,39,0,31,5,47,1,0,1,40,70,66,1,22,25,2,40,0,0,15,5,13,2,0,8,31,23,65,0,7,0,18,1,3,2,7,2,4,0,55,54,6,0,42,1,25,196,4,8,72,13,7,5,283,34,154,0,59,0,12,36,104,6,1,6,31,0,4,9,3,13,76,42,0,25,72,17,29,1,17,12,1,15,29
"Cell801",0,42,2,30,1,28,0,0,0,24,60,46,0,0,24,8,32,1,3,23,5,11,4,0,4,36,24,76,0,12,0,9,0,5,2,10,1,1,0,47,51,1,0,49,13,13,152,0,8,81,4,8,5,221,42,148,0,64,1,5,22,44,2,0,12,16,0,6,2,4,1,69,49,0,38,65,28,34,3,12,4,1,18,15
"Cell802",0,35,1,25,4,42,0,0,3,27,74,71,0,12,59,15,50,1,4,34,12,34,4,1,4,29,49,57,0,7,0,9,1,1,0,7,4,2,1,57,68,3,0,32,8,26,177,11,7,85,7,4,12,229,25,170,3,70,0,6,31,44,0,4,14,30,1,18,3,6,7,98,69,0,53,74,10,53,0,23,2,0,16,42
"Cell803",0,42,2,24,2,33,0,2,4,39,58,56,1,13,50,18,38,0,1,39,11,26,1,1,1,31,21,71,10,19,0,7,6,10,0,15,3,1,4,58,52,0,0,55,1,47,140,13,3,88,9,2,4,274,26,103,0,57,0,16,37,65,0,3,21,29,1,6,2,1,5,85,54,0,32,66,7,44,0,8,6,3,24,27
"Cell804",0,36,4,16,2,39,3,0,1,40,50,26,0,1,33,2,40,2,1,23,13,4,1,2,2,27,29,72,0,9,0,4,1,7,0,4,2,1,0,44,42,4,0,50,2,25,122,1,6,50,21,3,7,180,24,98,0,41,0,4,25,47,6,0,2,14,1,6,2,11,4,79,33,0,29,55,38,19,2,12,2,0,9,43
"Cell805",0,47,2,16,2,20,0,0,1,24,63,39,4,14,34,6,43,2,1,34,7,16,2,2,0,16,32,118,0,11,1,14,0,12,0,3,4,6,0,35,57,8,0,41,7,39,128,4,19,66,11,3,2,274,17,186,0,60,0,5,34,79,6,5,7,36,0,14,2,2,13,41,57,0,43,74,22,33,1,16,7,0,8,27
"Cell806",0,54,0,21,2,40,0,0,1,15,92,75,1,11,34,13,34,4,5,10,9,26,4,3,1,45,14,70,0,8,0,10,0,6,1,13,0,1,0,53,76,3,0,38,5,31,201,1,3,88,34,6,2,284,38,150,0,51,0,10,22,90,2,4,15,23,1,13,2,1,6,59,67,0,28,111,32,38,3,10,11,0,7,31
"Cell807",0,20,2,6,4,10,1,0,1,16,47,36,0,8,12,13,23,1,2,6,6,9,6,0,1,12,30,18,0,13,0,9,2,2,0,5,1,0,0,19,43,0,0,15,3,29,83,2,2,17,14,5,2,172,31,78,0,34,0,2,13,25,0,4,4,9,0,7,1,0,2,25,29,0,22,33,9,37,1,1,4,0,12,13
"Cell808",0,43,0,20,12,52,0,2,2,29,81,68,1,3,34,10,37,3,0,14,2,21,2,0,10,28,53,115,0,7,3,24,0,14,1,15,5,0,0,60,70,0,0,92,10,26,171,4,8,88,14,2,6,322,23,107,0,80,0,9,47,35,0,4,7,32,0,8,4,0,3,59,44,0,36,98,26,38,1,13,6,0,6,25
"Cell809",0,22,0,13,7,29,3,0,3,29,53,49,0,6,36,10,41,1,1,23,16,28,7,2,5,12,25,78,0,14,0,11,0,5,1,5,10,0,0,92,28,9,0,41,5,28,189,4,9,56,27,12,7,315,23,121,0,72,0,6,53,77,0,1,10,23,0,11,6,4,3,68,49,1,50,99,26,34,1,22,5,4,15,36
"Cell810",0,51,1,21,3,41,6,0,5,10,55,56,0,2,29,10,52,3,7,22,4,15,0,1,8,26,29,69,0,25,0,12,1,7,4,11,2,3,0,54,59,4,0,38,5,34,174,2,8,91,14,2,5,355,25,134,0,81,0,3,40,36,11,3,6,29,0,6,3,7,3,67,43,0,34,57,28,33,4,6,1,0,10,28
"Cell811",0,45,2,37,1,35,0,0,3,48,63,67,3,1,43,20,28,3,3,43,10,21,1,0,3,39,47,71,0,15,0,5,1,6,3,17,0,3,0,29,50,10,0,42,4,26,159,4,4,86,18,0,18,290,23,114,0,71,0,17,29,78,0,7,9,48,0,9,5,3,6,96,62,0,53,81,13,42,1,13,2,0,16,36
"Cell812",0,27,0,23,2,28,0,0,4,19,41,38,0,6,17,9,18,0,1,39,3,7,9,1,0,23,22,39,0,3,0,6,0,5,0,4,3,0,0,48,50,3,0,35,5,12,99,4,2,76,5,0,1,219,8,108,0,39,0,3,19,34,1,2,10,13,0,9,0,5,2,43,28,0,31,38,22,36,1,8,4,0,18,21
"Cell813",0,53,1,22,5,27,1,0,2,23,76,60,0,11,27,6,42,2,1,20,0,16,3,2,1,22,24,68,0,2,0,5,5,6,0,11,5,0,0,31,37,3,0,28,7,30,193,0,3,67,25,9,4,299,15,134,0,51,0,5,26,60,6,1,10,34,1,9,2,3,13,59,58,0,27,87,17,39,2,15,4,0,13,30
"Cell814",0,71,2,33,0,44,1,0,1,18,82,51,0,4,13,5,31,1,2,30,7,18,7,2,1,38,34,74,0,12,0,13,0,5,0,10,2,2,0,48,59,1,0,62,3,37,144,6,3,65,17,6,7,288,32,141,0,74,0,6,19,45,2,6,4,30,0,6,0,3,10,72,53,0,27,81,30,48,4,28,5,2,7,28
"Cell815",0,45,0,17,2,20,0,0,0,21,57,41,0,4,20,16,43,1,6,9,6,17,3,0,3,16,31,60,0,3,0,2,4,4,2,7,1,1,0,30,33,1,0,26,1,12,127,0,5,21,5,1,4,153,15,89,0,37,0,2,18,53,0,3,7,47,0,1,1,0,6,36,50,0,31,34,18,30,3,11,3,0,11,26
"Cell816",0,50,2,3,3,41,1,0,0,31,46,43,0,8,16,23,41,0,1,7,3,15,2,1,1,7,20,69,0,21,0,12,0,4,0,6,0,2,0,25,45,0,0,51,5,26,116,0,4,55,8,0,1,210,27,78,0,36,0,9,27,75,4,0,16,26,0,3,5,1,4,52,47,0,21,40,18,18,6,5,5,0,6,31
"Cell817",0,66,0,27,7,19,1,2,4,31,63,47,4,13,16,3,11,1,2,25,13,10,3,2,2,19,28,116,0,10,0,8,1,6,1,1,5,0,0,28,45,1,0,51,1,27,180,0,2,53,1,2,4,249,22,115,0,52,0,10,36,45,0,1,4,26,0,10,2,2,4,22,56,0,23,57,10,16,3,11,5,0,6,13
"Cell818",0,22,0,15,3,15,0,0,3,19,42,36,0,6,14,14,50,5,8,19,11,19,0,3,1,20,37,61,0,4,0,6,2,4,0,10,1,0,0,26,59,0,0,34,2,31,119,1,3,54,7,1,4,281,24,103,0,71,0,7,22,51,2,1,11,12,0,8,0,5,11,52,25,0,29,44,28,33,1,11,1,0,13,15
"Cell819",0,50,1,17,2,47,0,0,1,37,69,64,2,15,26,14,32,6,1,17,7,31,1,3,8,20,28,46,0,14,0,9,0,3,0,3,6,6,0,58,56,6,0,23,20,58,200,6,4,79,11,6,6,343,22,90,0,69,0,5,38,74,2,0,24,23,0,10,0,7,6,96,41,0,19,74,4,40,1,8,2,0,27,21
"Cell820",0,26,0,22,7,60,0,0,2,36,33,52,2,3,31,6,42,1,0,17,7,22,0,4,0,42,32,79,0,7,0,4,0,1,0,8,4,0,0,64,54,2,0,47,1,8,114,1,8,74,11,4,6,308,15,90,0,82,0,14,17,64,6,3,8,24,0,6,3,2,9,59,69,0,20,50,14,35,0,21,1,0,13,29
"Cell821",0,19,0,9,2,48,0,0,7,22,51,52,0,4,21,8,15,4,0,19,16,13,0,4,4,15,18,70,0,14,0,5,0,2,0,10,6,1,0,53,58,2,0,39,2,31,158,1,1,55,35,17,7,179,32,137,0,31,0,7,29,65,1,0,7,35,0,4,1,2,18,74,25,0,22,64,10,19,2,5,1,1,12,12
"Cell822",0,44,1,30,3,61,1,0,9,23,61,26,0,10,26,5,64,0,2,18,5,18,19,3,1,21,21,109,0,11,0,8,5,6,2,7,14,2,1,82,72,3,0,52,3,24,201,3,8,48,32,5,8,354,25,182,1,94,0,10,39,60,1,1,4,35,0,7,2,4,5,93,71,1,33,77,14,52,3,24,12,1,19,40
"Cell823",0,21,0,17,1,12,0,0,2,13,20,67,0,0,23,8,50,8,0,7,5,12,7,7,1,28,25,64,0,4,0,5,0,0,0,3,4,0,0,21,23,4,0,30,2,17,105,3,2,43,4,5,2,210,18,67,0,66,0,11,19,68,4,1,1,37,0,4,0,2,6,24,45,0,15,36,8,19,0,4,5,1,21,23
"Cell824",0,43,2,10,2,27,2,0,2,13,46,34,0,1,34,17,28,2,4,18,13,12,9,5,2,23,32,77,0,12,0,7,1,3,1,8,5,2,1,29,28,1,0,41,8,40,142,1,9,57,16,7,5,186,20,123,0,59,0,1,27,73,1,4,13,31,0,4,0,2,10,42,51,0,23,55,7,27,2,11,4,0,20,30
"Cell825",0,24,4,15,8,22,0,0,0,23,28,35,0,6,29,1,31,3,2,16,0,10,2,2,0,22,15,43,0,8,0,7,0,8,2,8,2,0,1,20,27,6,0,27,1,29,135,2,0,69,10,3,1,284,21,132,0,50,0,6,26,63,0,4,3,19,0,7,3,3,3,57,40,0,30,59,10,31,3,11,2,0,6,36
"Cell826",0,37,3,10,4,28,0,0,0,14,47,32,0,0,13,7,36,3,5,21,11,3,2,3,2,17,26,56,0,5,0,3,0,19,1,1,3,1,0,24,35,0,1,42,6,36,138,3,5,73,13,3,8,236,14,102,2,43,0,1,24,65,2,4,10,33,0,2,2,2,5,38,53,2,15,48,29,24,5,6,0,1,4,18
"Cell827",0,45,2,11,2,59,0,0,5,8,28,45,0,4,39,13,27,0,1,19,10,23,0,1,3,31,13,73,0,8,0,8,0,5,0,4,0,0,0,51,50,1,3,31,2,16,93,4,3,43,7,1,3,283,10,97,0,55,0,4,29,50,2,0,14,29,2,4,1,7,2,33,23,0,32,32,21,44,0,7,5,0,18,21
"Cell828",0,32,1,14,1,35,1,0,1,16,47,19,0,3,14,5,34,0,1,7,4,3,0,3,2,13,30,46,0,3,1,9,1,2,0,2,2,1,0,33,45,2,0,40,4,7,126,0,0,66,5,4,5,192,8,89,0,42,0,14,42,39,0,1,8,20,1,1,0,2,9,48,49,0,18,83,7,21,0,1,6,0,10,17
"Cell829",0,34,13,7,7,33,1,0,2,9,30,49,1,3,18,2,46,4,1,45,7,22,1,4,0,12,33,37,0,9,1,3,0,10,0,7,4,1,2,65,58,2,0,53,2,27,154,3,7,101,10,15,2,269,24,118,0,85,0,4,27,69,9,0,14,50,0,13,4,3,5,78,59,0,54,74,13,22,1,8,0,3,17,34
"Cell830",0,56,0,10,4,35,1,0,5,20,62,45,0,9,25,20,44,0,2,21,16,22,2,1,1,28,19,69,0,13,0,10,2,7,0,14,7,2,0,48,77,3,0,22,4,34,208,5,7,90,11,0,4,315,51,150,0,88,0,16,32,43,5,3,11,27,0,8,0,4,16,44,54,0,7,88,3,68,0,5,4,0,19,21
"Cell831",0,58,2,28,8,79,3,1,8,38,82,62,0,8,41,9,49,4,0,27,18,59,7,2,4,47,42,106,0,5,0,27,8,11,2,9,8,4,4,66,67,11,0,66,3,35,227,1,12,122,13,17,6,364,34,135,0,88,0,13,39,110,3,2,18,40,2,15,4,6,16,50,97,0,33,55,18,47,4,18,13,3,32,29
"Cell832",0,49,0,14,5,56,0,0,7,16,61,67,0,7,28,6,37,0,1,15,6,18,4,6,2,28,31,70,0,15,0,12,0,13,0,3,1,2,3,24,37,12,0,49,4,27,200,2,1,56,14,3,2,231,42,104,0,48,0,5,35,55,3,0,11,27,0,6,8,5,12,29,81,1,28,62,31,63,6,17,3,0,9,25
"Cell833",0,59,0,38,2,37,0,0,2,23,66,66,2,11,30,18,85,3,4,35,18,39,4,7,1,44,20,88,0,40,0,11,0,7,1,12,7,2,3,60,78,16,0,71,7,52,202,2,9,108,34,8,16,273,32,145,0,79,0,3,53,77,7,2,8,60,1,5,1,4,21,53,91,1,45,55,10,41,0,15,20,0,21,28
"Cell834",0,63,2,9,3,54,0,0,5,38,55,59,2,5,26,4,61,4,14,45,15,10,0,4,3,19,41,73,0,14,0,10,0,7,3,11,2,1,0,16,71,4,2,36,2,39,173,1,9,85,23,7,7,287,25,95,0,57,0,4,36,79,3,4,3,48,0,4,2,3,10,93,55,0,40,68,26,61,2,13,10,4,12,18
"Cell835",0,25,1,19,4,42,2,0,0,27,65,38,0,8,43,18,33,1,2,20,31,26,0,1,2,39,43,73,0,8,5,11,2,0,0,19,0,0,1,69,55,8,0,52,4,53,164,4,3,52,11,14,4,316,35,116,0,64,0,6,18,69,1,5,18,41,0,3,5,4,3,78,62,0,29,77,29,52,0,7,1,1,18,23
"Cell836",0,45,0,12,2,33,0,0,1,27,54,43,0,4,35,7,37,1,0,21,4,24,11,1,2,20,30,54,0,8,0,14,3,5,1,13,3,0,0,44,58,9,0,33,4,44,152,6,7,68,20,3,10,345,16,102,0,47,0,6,29,56,3,1,3,18,0,9,12,8,2,59,70,0,20,54,16,32,3,12,8,1,4,35
"Cell837",0,47,0,16,3,31,0,0,2,30,53,45,0,3,25,13,32,2,3,19,4,18,4,3,0,27,36,72,0,13,0,18,3,6,1,8,3,5,0,45,32,4,0,45,7,27,131,4,6,63,12,7,16,253,33,95,0,60,0,9,45,73,2,0,24,24,0,3,5,0,12,44,84,0,37,60,15,49,1,9,9,1,6,23
"Cell838",0,36,1,28,4,32,4,0,4,18,43,80,2,0,7,8,27,0,2,29,5,31,3,4,0,22,33,70,0,14,1,11,6,4,0,6,4,0,0,48,102,10,0,60,3,39,147,2,2,91,19,2,4,237,30,112,0,58,0,7,28,82,2,1,15,19,2,12,1,8,7,82,37,1,52,52,10,40,0,4,3,1,9,34
"Cell839",0,32,2,15,6,28,0,0,1,15,56,64,0,2,26,9,28,1,3,20,6,31,0,0,4,21,17,38,0,6,0,7,0,5,0,7,1,6,0,45,44,6,0,37,2,13,126,1,4,58,13,7,2,171,37,81,0,39,0,5,24,75,0,2,6,12,0,1,3,1,2,55,37,0,41,42,9,23,0,23,6,0,12,27
"Cell840",0,40,0,22,11,49,0,0,0,20,56,44,0,8,38,1,55,4,5,21,2,34,0,3,4,26,39,90,0,13,1,12,0,5,3,2,3,1,0,59,35,4,0,45,7,27,120,1,1,81,20,2,16,285,36,159,0,104,0,13,35,36,1,0,11,19,0,10,7,1,7,30,55,0,22,86,9,29,1,8,6,3,16,34
"Cell841",0,60,2,14,9,46,0,0,2,21,59,37,0,2,19,11,29,2,1,50,8,22,2,4,4,17,24,43,0,8,0,17,0,7,0,4,8,0,0,28,42,3,1,16,7,13,181,6,5,82,10,3,3,250,23,126,0,72,0,6,35,69,2,6,6,26,0,6,1,1,9,67,29,0,52,73,26,59,0,7,8,2,25,19
"Cell842",0,67,0,20,1,42,1,0,8,38,109,90,0,7,52,11,55,0,4,43,9,11,0,9,2,35,73,93,0,26,2,18,2,6,2,7,7,0,3,57,87,21,1,31,2,54,310,0,3,100,16,17,2,300,48,193,0,89,0,15,23,98,3,3,8,46,0,7,2,6,8,124,90,0,55,84,33,44,1,27,19,2,33,30
"Cell843",0,28,0,11,2,50,0,0,0,15,38,26,0,6,46,14,52,2,1,15,2,23,2,0,2,29,26,45,0,17,0,11,6,6,2,6,4,0,0,53,71,4,0,31,1,50,143,0,7,53,20,2,4,350,21,107,0,59,0,9,18,31,1,2,3,13,0,3,7,2,1,85,24,0,31,60,9,22,0,15,0,2,16,11
"Cell844",0,47,0,12,5,34,0,2,19,23,23,27,2,4,14,8,61,3,0,25,10,21,7,1,1,24,22,70,0,7,0,5,1,5,0,13,0,5,0,28,74,1,0,54,1,32,136,4,15,61,15,0,10,217,32,100,0,60,0,5,48,59,2,1,3,29,1,12,3,3,8,38,69,0,11,35,13,10,0,19,5,0,11,15
"Cell845",0,28,3,12,4,50,0,0,1,11,68,69,0,3,15,9,41,2,3,22,0,24,4,2,1,20,23,68,0,5,0,11,2,16,0,14,8,2,1,53,64,6,0,44,8,27,175,1,11,47,7,13,13,302,28,150,0,65,0,3,35,70,1,2,7,44,0,7,3,3,4,47,62,0,21,70,20,22,3,11,3,0,4,21
"Cell846",0,53,2,12,6,36,5,1,5,30,121,64,0,30,8,36,6,8,5,5,7,35,0,0,16,10,14,283,0,5,0,36,2,12,0,11,9,0,1,117,13,9,0,11,17,48,146,4,7,53,83,9,19,92,12,26,3,14,0,4,42,56,7,1,7,43,0,13,27,8,17,40,9,0,217,13,3,35,2,25,3,1,11,24
"Cell847",0,81,0,14,8,29,5,0,3,19,91,44,1,4,23,15,55,1,1,24,7,23,1,4,2,33,24,49,0,8,0,19,0,14,1,2,2,5,0,64,42,5,0,24,1,17,180,5,7,67,11,3,2,243,40,113,0,66,0,17,28,71,1,0,11,33,0,5,7,1,6,26,50,0,29,70,37,36,2,9,6,3,13,18
"Cell848",0,40,1,16,2,55,0,0,10,20,36,54,0,3,32,2,17,2,3,27,9,21,1,0,1,19,21,45,1,17,1,14,1,4,0,9,5,1,0,40,40,7,0,55,0,21,169,0,8,74,10,8,9,234,29,101,0,53,0,3,36,66,5,7,11,22,0,18,5,13,2,67,50,0,47,79,13,41,3,14,4,1,17,13
"Cell849",0,38,0,17,3,38,0,0,3,21,36,61,0,2,35,8,54,0,1,26,11,24,3,0,5,26,22,80,0,6,0,5,1,5,0,8,3,0,1,49,68,4,1,33,1,30,169,5,7,67,10,2,0,248,43,101,0,57,0,4,34,60,2,1,13,24,0,8,0,9,0,46,46,0,21,64,18,33,2,5,0,1,14,22
"Cell850",0,24,0,18,4,15,2,0,0,13,36,35,0,3,11,3,25,1,4,5,1,24,5,0,3,17,9,36,0,2,0,3,0,3,0,10,0,1,0,35,53,7,0,24,2,19,125,1,1,39,10,0,2,144,14,42,0,45,0,3,28,43,0,1,9,20,0,6,1,1,1,31,22,0,30,35,13,25,6,17,2,0,10,9
"Cell851",0,51,3,16,4,40,5,0,9,44,90,84,0,6,34,13,51,1,1,34,10,22,2,7,3,26,47,84,0,15,0,15,5,16,0,9,2,1,0,75,70,12,0,32,11,30,214,2,6,58,27,4,9,318,46,225,0,49,0,6,36,91,3,1,19,47,0,9,8,3,26,72,44,0,27,95,27,59,2,16,2,3,14,29
"Cell852",0,29,1,14,2,41,0,0,7,17,56,62,0,0,41,4,55,4,6,32,8,11,1,7,1,32,34,74,0,13,0,18,0,5,2,11,6,6,0,47,54,5,0,65,1,35,183,4,3,79,11,8,15,300,36,178,0,86,3,17,51,35,4,4,13,39,0,8,5,8,14,84,52,0,37,96,22,50,5,9,3,1,24,33
"Cell853",0,56,0,22,6,23,0,0,4,16,68,44,0,1,28,4,35,0,2,32,2,17,5,9,0,24,25,65,0,7,3,12,0,2,0,4,0,1,0,36,49,7,0,21,5,14,135,4,12,50,11,3,6,303,12,118,0,67,0,9,26,58,4,9,12,50,0,5,3,0,10,44,43,0,19,74,16,61,0,10,2,0,14,18
"Cell854",0,40,0,10,4,23,0,0,2,35,61,48,2,11,30,4,47,1,3,23,1,14,2,0,2,49,21,45,0,14,0,2,2,0,3,6,3,1,1,34,72,8,0,29,0,36,145,2,3,62,24,5,7,285,32,108,0,57,0,1,21,64,4,0,13,20,0,8,2,1,4,35,21,0,50,49,17,45,2,2,4,0,17,10
"Cell855",0,45,1,18,8,33,3,0,6,20,42,45,1,2,23,16,54,0,3,9,9,16,0,1,3,26,25,62,0,4,0,12,3,4,1,5,3,0,0,41,22,2,0,42,1,15,150,4,6,67,6,4,4,274,16,107,0,55,0,4,29,42,4,3,9,22,0,14,5,2,2,62,33,0,13,86,9,14,0,11,4,2,9,38
"Cell856",0,40,0,9,7,58,0,0,4,31,48,61,2,11,43,15,29,1,3,19,12,12,3,1,1,29,32,76,0,7,0,11,0,7,1,6,1,0,0,42,71,3,0,34,2,29,183,4,0,65,20,0,2,324,32,133,0,52,0,10,47,55,6,0,21,25,0,7,1,3,7,35,83,0,28,70,22,23,3,10,2,0,17,26
"Cell857",0,67,2,18,2,21,2,0,4,37,50,57,0,2,35,7,34,1,6,12,12,19,4,1,0,31,45,62,0,19,0,22,0,6,6,7,8,0,1,49,66,7,0,54,3,26,159,4,1,63,27,7,6,250,26,108,0,54,1,10,41,58,0,4,5,33,0,3,0,6,10,91,55,1,43,45,19,26,0,7,15,0,16,20
"Cell858",0,93,1,23,5,59,0,0,1,10,72,35,0,12,18,10,38,2,2,12,6,10,0,3,1,27,27,98,0,1,0,10,3,1,1,13,10,6,0,72,71,7,1,53,1,44,125,0,11,133,51,12,2,308,38,151,0,49,0,9,34,67,0,3,12,30,0,10,3,1,5,71,49,0,40,59,23,43,1,14,8,0,11,28
"Cell859",0,25,0,17,3,39,0,1,6,19,26,50,0,3,31,7,30,3,7,21,8,17,1,5,3,26,33,68,0,12,0,28,2,6,0,20,9,1,0,50,38,10,1,53,4,32,183,2,8,35,12,4,12,313,34,121,0,63,0,16,27,41,1,2,9,35,0,19,4,5,12,97,41,0,28,67,11,42,3,9,2,0,12,30
"Cell860",0,52,1,24,4,42,1,0,5,19,51,35,3,5,22,5,44,1,3,18,2,19,1,7,0,19,64,93,0,12,0,7,1,4,0,7,4,0,0,65,50,6,1,29,0,37,143,0,12,55,14,4,0,272,18,139,0,59,0,10,41,58,6,7,9,32,0,6,5,3,7,90,58,0,18,65,22,27,2,13,5,3,15,36
"Cell861",0,51,3,5,6,23,0,0,9,21,61,63,5,5,26,10,31,5,1,21,0,23,0,3,2,16,27,78,0,24,0,3,0,3,4,20,2,1,0,51,46,9,0,32,1,28,151,1,8,86,11,4,11,262,23,108,0,38,0,14,41,49,5,3,1,32,0,13,2,1,4,76,27,2,33,59,18,35,2,4,10,0,8,26
"Cell862",0,30,0,18,4,58,5,0,3,38,75,43,0,5,40,12,55,6,6,21,15,49,4,3,3,28,37,45,0,14,0,9,1,12,1,4,4,2,0,53,76,8,0,46,4,40,160,2,6,78,13,4,5,325,24,137,0,70,0,13,30,61,0,8,4,52,0,11,2,4,8,94,69,1,34,61,16,55,2,10,0,0,20,20
"Cell863",0,35,3,20,2,46,0,0,0,29,42,42,0,2,43,3,16,3,1,19,15,23,1,1,0,48,32,86,0,6,0,17,0,6,4,5,2,0,0,56,47,4,0,40,6,29,132,1,3,74,5,8,12,251,31,153,0,83,0,9,31,37,2,4,10,33,0,3,2,3,4,65,53,0,47,53,4,23,11,13,6,0,22,19
"Cell864",0,37,1,5,0,25,2,0,0,21,46,41,1,2,30,13,18,4,3,12,1,19,0,5,1,13,19,40,0,8,0,10,0,3,1,11,3,4,0,23,40,0,0,34,6,23,144,0,2,50,4,4,2,136,39,105,0,54,0,4,28,43,0,1,12,30,0,5,0,7,4,50,25,0,27,45,28,22,0,6,5,0,8,11
"Cell865",0,37,1,24,3,44,2,0,4,6,55,64,2,1,20,14,24,0,4,13,3,16,3,1,3,23,41,117,0,12,0,4,0,7,0,2,8,4,2,48,62,10,0,52,12,33,99,4,7,102,12,1,7,215,20,97,0,59,0,7,28,55,0,6,10,32,0,10,2,5,5,75,62,0,31,54,26,17,3,21,4,1,9,11
"Cell866",0,39,8,25,5,49,0,0,0,16,53,59,0,2,21,3,31,1,3,27,7,24,5,3,5,28,19,51,0,10,0,13,0,2,1,13,4,2,0,43,52,16,2,24,2,16,164,2,10,68,7,4,11,253,24,54,0,76,0,6,25,92,2,1,16,22,0,1,2,2,9,71,52,0,43,62,7,31,4,12,1,1,17,12
"Cell867",0,34,8,13,3,44,0,0,3,24,39,49,2,10,19,4,44,0,2,35,11,3,3,10,0,31,40,102,0,11,0,8,0,4,0,14,6,2,0,38,76,9,4,39,8,13,122,3,4,64,7,2,4,216,40,116,0,63,0,7,47,75,4,4,11,28,0,4,4,3,5,46,52,0,36,87,19,43,7,10,3,1,20,19
"Cell868",0,19,6,16,2,35,0,0,0,18,28,33,0,0,14,5,38,1,5,20,3,11,2,0,0,13,31,76,0,8,0,8,1,4,0,14,5,1,0,40,48,2,0,25,3,27,89,1,2,42,22,7,2,259,25,100,0,65,0,5,13,43,2,2,4,17,0,3,4,2,11,28,61,3,20,61,12,41,0,4,2,2,10,15
"Cell869",0,40,0,11,8,22,3,2,1,13,64,48,1,8,27,6,24,13,1,24,8,17,1,2,8,26,30,55,0,20,0,10,1,5,0,11,1,1,0,45,40,2,0,47,0,29,118,0,8,79,32,1,5,295,32,105,0,56,0,13,49,64,0,0,5,16,0,3,1,1,6,53,48,0,31,67,15,31,1,14,5,0,12,31
"Cell870",0,25,0,11,3,23,0,0,3,15,64,61,0,5,45,7,22,4,4,17,9,21,2,5,0,50,35,60,0,5,0,5,0,4,0,12,4,0,0,65,68,2,0,49,1,42,135,0,8,57,17,0,2,273,26,132,0,61,0,16,20,75,2,0,4,24,0,11,4,2,6,39,39,1,33,68,8,19,3,8,1,4,12,20
"Cell871",0,60,1,21,5,48,1,0,2,41,73,53,0,5,64,13,46,5,9,41,21,26,17,0,9,58,64,88,0,11,0,20,2,11,2,33,3,4,2,68,89,10,0,83,8,34,210,6,3,106,21,2,1,261,38,185,0,80,0,10,36,93,1,2,10,31,0,4,5,3,18,89,64,0,38,108,30,52,6,14,13,0,10,25
"Cell872",0,53,1,23,9,11,1,0,17,27,58,46,0,7,59,8,63,0,0,16,2,5,1,0,0,31,41,125,1,19,0,9,3,9,0,11,1,0,0,38,41,1,0,20,8,24,139,4,5,67,14,3,6,299,29,133,0,77,0,15,41,61,4,0,2,29,0,9,3,0,8,63,45,7,34,77,26,30,0,8,2,3,9,19
